id,body,score,created_utc,parent_id
jjfkvnp,I don't want to see Poole play another minute ever again,16,1683607298.0,t3_13can6x
jjfl1yj,"Warriors choked all of crunch time. 2 Klay bricks, Steph throws the ball out of bounds, Draymond drives off the DHO and throws the ball directly too AD… Bad play all around.",16,1683607398.0,t3_13can6x
jjf5lzy,How does Poole still get minutes why not try Kuminga,14,1683599345.0,t3_13can6x
jjf8tri,"I fucking hate Draymond, but that was nasty lol",15,1683600854.0,t3_13can6x
jjfbich,Shaq sounds like he’s underwater,14,1683602177.0,t3_13can6x
jjfk1oq,Steph and green throwing to nobody,15,1683606844.0,t3_13can6x
jjfk3sx,Quick Someone edit curry throwing the championship trophy out of bounds,14,1683606877.0,t3_13can6x
jjfkhtv,"It's still surreal that we've been blessed with another LeBron vs Curry matchup in the year 2023.

Appreciate what you're watching this may be the last time.",15,1683607086.0,t3_13can6x
jjfkktj,"See this is why I think the Lakers will win. They’re too deep. They have so many guys that can give you unaccounted for points aka Bucket getters. Lonnie Walker was got HUGE buckets in the 4th. Sometimes it’s D Lo, sometimes it’s Reaves sometimes it’s Hachimura, this time it was Lonnie",14,1683607130.0,t3_13can6x
jjfknpd,Lonnie Skywalker IV,14,1683607174.0,t3_13can6x
jjfl6es,Draymond's concussion caught up with him in the end,14,1683607472.0,t3_13can6x
jjf3l19,Lol. They thought there had to be a foul if he misses a bunny.,15,1683598416.0,t3_13can6x
jjf8qpf,Concussed into a better player lmfao,13,1683600815.0,t3_13can6x
jjf8qw7,Look at draymond cooking. The brain damage gave him handles,15,1683600818.0,t3_13can6x
jjf8r9m,Bro got a concussion and started dropping buckets,13,1683600822.0,t3_13can6x
jjf8reu,WHOAAAA OKAY DRAYMOND!!! 🗣️🗣️🗣️🗣️,14,1683600824.0,t3_13can6x
jjf8ta9,that was actually SICK by draymond,14,1683600847.0,t3_13can6x
jjfgklg,"“No such thing as garbage time, only garbage players.” LMAO?",13,1683604860.0,t3_13can6x
jjfgon1,Game is going to end on a poorly shot logo 3 from Jordan Poole,14,1683604921.0,t3_13can6x
jjfjy0w,"Curry and Klay went full clown mode chucking shit 3s when they were killing the lakers on PnR

Hero ball lost today",14,1683606789.0,t3_13can6x
jjfk2r6,That was the dumbest minute of basketball I’ve ever seen and I’ve watched Jordan Poole’s whole career,13,1683606861.0,t3_13can6x
jjfk336,Lonnie secured his NBA career. Good for him,12,1683606867.0,t3_13can6x
jjfkbpa,It should be illegal to run commercials with 30 seconds or less left in the game. Just keep it in the arena.,13,1683606998.0,t3_13can6x
jjfkm0t,Lonnie-legacy game. Imagine saying in a crucial game 5 that Lonnie Walker would cook Steph Curry to go up 3-1. Insane.,13,1683607147.0,t3_13can6x
jjfkom3,From 2-10 to one win away from the WCF against the champs CRAZY,15,1683607187.0,t3_13can6x
jjfksup,"""I'm tired as hell, get out my face"" -LBJ -Eastcoast viewers tonight 🥲",14,1683607252.0,t3_13can6x
jjfktcp,"all the respect to curry. however, playing all by himself was not enough to steal home court advantage 🤷",14,1683607261.0,t3_13can6x
jjf3q6m,Ill give you that one Warriors. that was not a foul,13,1683598479.0,t3_13can6x
jjf3xlc,"Lakers fan here, that didn't even look like a foul to me.",14,1683598575.0,t3_13can6x
jjf5p8q,What is this game dawg they both ass 😭😭,13,1683599386.0,t3_13can6x
jjf8py2,Oh my lord that was nasty Draymond,13,1683600805.0,t3_13can6x
jjf8tx0,"Warriors be like: hey we got a lead by getting lots of layups, how about we just shoot threes from narnia",12,1683600856.0,t3_13can6x
jjf8z5f,head injury gave draymond a bag? thats the sauciest move ive ever seem from him,13,1683600924.0,t3_13can6x
jjfafxo,Ok so yesterday that was a charge. What is it today?,14,1683601648.0,t3_13can6x
jjfe4ne,LeBron throwing his hands up like he didn't just spark this Warriors run by himself. So fucking annoying,13,1683603544.0,t3_13can6x
jjfe6ia,"This game is weird, both teams will look like ass, then one will go crazy for 5 minutes, and then back to ass again.",13,1683603571.0,t3_13can6x
jjffz2y,"keep shooting 3s LeBron, I'm loving it",14,1683604532.0,t3_13can6x
jjfg5sj,Listen who am I to say this but Bron has to stop shooting 3s. If he’s too tired to drive or post up then you gotta sit.,13,1683604634.0,t3_13can6x
jjfgpqt,Jack Nicholson look like he rdy for his applesauce.,12,1683604937.0,t3_13can6x
jjfhs12,LeBron looked so dejected on that messed up fastbreak lol.,11,1683605535.0,t3_13can6x
jjfiimw,"Chill out and give AD the ball. Don't get funny or fancy, no heat checks.

Easily winnable game. Which makes it easily losable.",11,1683605964.0,t3_13can6x
jjfk05p,"Blatant miscall to keep warriors in it, no way was that a jump ball",12,1683606821.0,t3_13can6x
jjfk1jv,How the fuck is Kerr not ready to call timeout the second Steph hits the deck,14,1683606842.0,t3_13can6x
jjfkg9u,Y'all weren't joking about Wiggins 17 pts 💀,13,1683607064.0,t3_13can6x
jjfkgw1,"As Laker fans accept we had a ton of things go our way to win. We need to seriously look at our offense and playing lazy and poorly can lead to massive swings in favor of the other team. The Heat will play much better D than the Warriors.

And oh... this series isn't over yet. Never count the Warriors out or you are asking for it.

This ending was embarrassing for the Warriors and Lakers need to remember it took that to win.",13,1683607073.0,t3_13can6x
jjfkhgb,Two more days of funny Warriors posts in r/nbaCirclejerk,14,1683607081.0,t3_13can6x
jjfkig9,Warriors absolutely CHOKED tonight.,15,1683607095.0,t3_13can6x
jjfkjgs,Draymond can just blame that awful fucking pass on his probable concussion.,13,1683607110.0,t3_13can6x
jjfklkn,of course lebron knew steph’s stats. dude’s crazy.,13,1683607141.0,t3_13can6x
jjfkqj1,Not gunna lie watching lebron give Lonnie that talk at the end hit me in the feels,13,1683607217.0,t3_13can6x
jjfkrb4,So why did they interview Lebron over Walker? Guy had a personal best playoff performance that kept them in the game at the end.,13,1683607229.0,t3_13can6x
jjfkrpz,Klay Thompson really just cost them the game with his 3 missed shots in a row.,12,1683607235.0,t3_13can6x
jjflo35,Warriors core 3 cost them the game at the end. Bad shot by Klay. Bad shots by Steph. Horrible turnover by Steph and Dray and that’s all she wrote.,13,1683607772.0,t3_13can6x
jjflujs,"If the warriors get rid of Klay and sign just a consistent offensive player they can be elite again. They can't depende on Curry that much, besides he is an amazing assistant but is wasted in creating opportunities to ass players.",13,1683607884.0,t3_13can6x
jjf4pa5,Gary Payton just went home mid game💀💀💀💀💀💀💀💀,11,1683598926.0,t3_13can6x
jjf5gsp,So uhhhhhh...GPII still alive back there?,12,1683599277.0,t3_13can6x
jjf5mb3,Everytime poole shoots i get irritated,13,1683599349.0,t3_13can6x
jjf8eid,"Watch draymond become the friendliest, nicest player for the rest of his career",13,1683600653.0,t3_13can6x
jjf8qij,If this was the nfl Draymond would definitely be in the tent rn,12,1683600813.0,t3_13can6x
jjf8ra2,That was a great fake out by Dray lol.,12,1683600823.0,t3_13can6x
jjf8reb,Okay that was nice by Draymond,12,1683600824.0,t3_13can6x
jjf8xkc,Kerr bout to start smacking the shit out of Draymond’s head before games man 😭,12,1683600903.0,t3_13can6x
jjfan9o,What a dumbass challenge,12,1683601747.0,t3_13can6x
jjfby4k,"Bruh. Steph leading Warriors in points, rebounds and assists at half time.",11,1683602405.0,t3_13can6x
jjfcaau,“We can go down there and hangout at the beach with Kenny.” Shaq- “you gonna take your shirt off too?”,13,1683602578.0,t3_13can6x
jjfcels,Aww wholesome fist bump by all the guys,11,1683602640.0,t3_13can6x
jjfdzfv,Everyone hates Draymond but clearly AD has his arm hooked,13,1683603473.0,t3_13can6x
jjfgjon,"""No garbage time, just garbage players"" is an all time quote lmao",12,1683604846.0,t3_13can6x
jjfgrxy,Anthony Davis looks like a Ming dynasty depiction of a Turkish warrior,11,1683604970.0,t3_13can6x
jjfiby6,lack of AD post-ups in the 4th is going to haunt the Lakers,12,1683605860.0,t3_13can6x
jjfif7k,Playing against GS in a close game is the most stressful thing ever. Holy shit,12,1683605911.0,t3_13can6x
jjfilo0,Lakers with alot of really really dumb mistakes and still in it. Cmon guys clean it up.,11,1683606014.0,t3_13can6x
jjfjhkj,"Green is so dumb to not take a shot over Denis, lmao",12,1683606539.0,t3_13can6x
jjfjiwr,Wow AD staying with curry incredible clutch defense,11,1683606560.0,t3_13can6x
jjfjj47,draymond didn't even look at the rim,13,1683606564.0,t3_13can6x
jjfjjdp,bro this is a fucking banger of a game,13,1683606568.0,t3_13can6x
jjfjuiv,CURRY THREW THE GAME???,12,1683606737.0,t3_13can6x
jjfjxxn,Lmaoo I need that edit gif from the finals with Curry throwing the championship trophy out of bounds.,12,1683606788.0,t3_13can6x
jjfk1q8,"Without Lonny walker, the lakers lose by 15 or more and we’re all asleep.",12,1683606845.0,t3_13can6x
jjfk23w,"The one game Steph was DOING EVERYTHING ELSE, his 3 doesn’t fall, meanwhile Klay takes two straight awful 3s at the end of the game and Draymond turns it over.  

And that BOY Lonnie is HIM RN.",12,1683606851.0,t3_13can6x
jjfk2kr,We overcame even game AD,12,1683606859.0,t3_13can6x
jjfk4ja,"I met Lonnie walker when he was in HS. Couldn’t happen for a better kid, extra happy day to be a laker fan.",13,1683606889.0,t3_13can6x
jjfk95z,Steph is such a good teammate. Taking the blame away from Draymond being the only one who threw a chance at the game away,11,1683606958.0,t3_13can6x
jjfkehp,"Respect to Lonnie, he was at the end of the Laker bench. Multiple DNPs and he stayed ready.",12,1683607039.0,t3_13can6x
jjfkf5h,I fucking love when dudes who dont normally contribute enough to win even a regular season game show up to put the team on their back and win games in the playoffs. Walker is that guy,11,1683607048.0,t3_13can6x
jjfkfvv,Those klay back to back threes really hurt the warriors.,11,1683607058.0,t3_13can6x
jjfkg8x,Lonnie Walker IVth quarter,13,1683607063.0,t3_13can6x
jjfkjw2,Bron about to cap and say he always knew Walker was gonna be that guy,13,1683607117.0,t3_13can6x
jjfkmu3,"Lmao ""I'm tired as hell man, get out of my face""",13,1683607160.0,t3_13can6x
jjfkneb,Very winnable game for the Warriors. Wasted an incredible game from one of their guys playing out of his mind and putting up big numbers.  Yes I’m talking about Draymond Green getting a double digit stat.,13,1683607168.0,t3_13can6x
jjfknws,Legetoutofmyface,12,1683607177.0,t3_13can6x
jjfkoa4,Why not interview walker???,12,1683607182.0,t3_13can6x
jjfkobm,Get out my face 😭,14,1683607183.0,t3_13can6x
jjfkpo1,We might eff around and get a Miami vs LA finals rematch... If you bet on that happening a couple of months ago I hope you spend your millions wisely.,12,1683607204.0,t3_13can6x
jjfl0me,"It's looking more and more like a bubble finals rematch, I'm here for it",11,1683607376.0,t3_13can6x
jjfl1k2,LONNIE SKYWALKER BOIIII,13,1683607391.0,t3_13can6x
jjfl4j2,this is the kind of grinding all-out war I miss in the nba.  great game.,13,1683607442.0,t3_13can6x
jjflasn,Poole needs to take  control in game 5,12,1683607545.0,t3_13can6x
jjflcg0,Steph the only one who came to play for the Warriors,12,1683607573.0,t3_13can6x
jjfldsp,"Klay wanted to be the hero in front of his hometown with that shot, love him but you should have only took it if it was a GOOD shot. Cant put yourself over the team there bruh",13,1683607596.0,t3_13can6x
jjflj1z,"Laker fans been knowing Lonnie ""Sky"" Walker IV is a walking bucket, glad he's finally getting his time to shine.",12,1683607686.0,t3_13can6x
jjfm2be,Wiggins with 17 points,13,1683608020.0,t3_13can6x
jjf3vb2,Anybody who thinks that foul should’ve been called on Payton needs to seek professional help,22,1683598546.0,t3_13can6x
jjfltlt,Lonnie Walker getting laid with the lights on tonight.,27,1683607867.0,t3_13can6x
jjflvu3,"Lonnie Walker's become the guy we hoped Malik Beasley was - just instant shooting and offensive spark when we need it. He won us the game in the 4th. It didn't look like anyone else had it in them to grind it out on offense. But Lonnie was just locked in both sides and didn't hesitate to pull the trigger. He definitely looked the most energized out there today and thank god he was hot. We really needed it and now are in great shape to win. 

The next few games will NOT be easy tho. I don't see the refs calling the obvious moving screen fouls on the Ws like they were doing tonight. Esp not in game 5 at the Chase Center. Silver wants this series to go to 7",22,1683607905.0,t3_13can6x
jjfmi8n,Lonnie really seems like a good dude. Happy he’s on my team.,27,1683608299.0,t3_13can6x
jjfmla8,Lonnie really seems like a great person. Bless him❤️ I wanna see him have a long and successful career!!,26,1683608355.0,t3_13can6x
jjf3kag,announcer saying it like it is lmao💀💀,9,1683598407.0,t3_13can6x
jjf3lvu,SVG not holding back,12,1683598426.0,t3_13can6x
jjf6mbu,This game is so bad compared to yesterday Suns and Nuggets game. That game was a treat,11,1683599812.0,t3_13can6x
jjf843y,Draymond podcast tonight gonna be crazy,11,1683600517.0,t3_13can6x
jjf8cco,that’s not dirty in any sense. just unfortunate that drays head hit the floor,12,1683600626.0,t3_13can6x
jjf8qg6,That was a really good Draymond play if we're being honest,11,1683600812.0,t3_13can6x
jjf8rcg,What the absolute fuck Draymond,11,1683600824.0,t3_13can6x
jjf8rjj,draymond green concussion legacy game,11,1683600826.0,t3_13can6x
jjf8thl,I love how we are collectively shocked when draymond gets in his bag in the slightest,12,1683600850.0,t3_13can6x
jjf8toc,That was one of the coolest plays ive seen in these playoffs. It was so smooth.,12,1683600853.0,t3_13can6x
jjf8tuy,Sickest thing I've ever seen Draymond do on offense. That was nice,11,1683600855.0,t3_13can6x
jjf8vi0,New special player unlocked: Concussed Draymond,11,1683600876.0,t3_13can6x
jjf8xzn,dray hitting his head unlocked the dribble package,12,1683600908.0,t3_13can6x
jjf915w,[deleted],11,1683600951.0,t3_13can6x
jjfaoqe,Lakers more foul baiting team I have seen in my life,12,1683601767.0,t3_13can6x
jjfaq4x,Hate wasted challenges. Save it for the 4th unless star player foul trouble,11,1683601786.0,t3_13can6x
jjfbopo,Is Poole the worst contract in the league now?,11,1683602269.0,t3_13can6x
jjfc414,Thank you YouTube tv for allowing me to skip a local attorney commercial in favor of a nice lake and geese,11,1683602489.0,t3_13can6x
jjfd4bo,GREAT FUCKIN BOARD AD,10,1683603024.0,t3_13can6x
jjfdxvc,"Payton deserved the bag more than Poole smh

Poole is a homeless Monta Ellis",11,1683603452.0,t3_13can6x
jjfdyc7,GP2 is kicking our ass,12,1683603458.0,t3_13can6x
jjfef4e,Whoever wins the series will win the title. Unless it’s the Suns or nuggets winner or a team from the east,11,1683603692.0,t3_13can6x
jjfessf,"This is how refs control games, just refuse to call fouls and let one team foul like crazy.",11,1683603892.0,t3_13can6x
jjffzcf,Lebron stop shooting threes wtf,12,1683604536.0,t3_13can6x
jjfg4wp,I wish Lebron would stop it with his fuck it chuck it 3s when he's gassed,11,1683604620.0,t3_13can6x
jjfg5gi,Bruh curry would still easily dominate the league without kerr's system. He's the best PG when he's a true PG,10,1683604629.0,t3_13can6x
jjfgjsw,What a game of runs,10,1683604848.0,t3_13can6x
jjfgkl2,I can't believe LeBron is 10/23. It feels like he's been bricking anything and everything.,12,1683604860.0,t3_13can6x
jjfgku5,"“There is no garbage time, there is only garbage players!”

Interesting theory, Mr. Van Gundy…",11,1683604864.0,t3_13can6x
jjfgojr,This is the quintessential game for “Basketball is a game of runs” lmao,11,1683604919.0,t3_13can6x
jjfgpj9,In 2 mins lakers will be down 10 again 😂,11,1683604934.0,t3_13can6x
jjfie1b,Dennis been acting wild with the ball wtf,11,1683605893.0,t3_13can6x
jjfigto,Why not just have AR handle the ball rather than Schroder? Dude is a turnover machine.,11,1683605936.0,t3_13can6x
jjfjj0x,Curry and Klay sold with the hero ball at the end,11,1683606562.0,t3_13can6x
jjfjjrh,"this aint on curry, klay sold so hard lmao",12,1683606573.0,t3_13can6x
jjfk05m,curry literally threw 💀,10,1683606821.0,t3_13can6x
jjfk346,That curry ball toss gonna get meme’d lol,11,1683606867.0,t3_13can6x
jjfk363,Went to a f'king commercial with less than 2 seconds left.,13,1683606868.0,t3_13can6x
jjfk8w7,Warriors fans hating on curry are disgusting. He’s the only reason you’re in it tonight fairweathers,11,1683606954.0,t3_13can6x
jjfk9ol,somebody said curry with another no look pass i’m upset lmfaooo,12,1683606966.0,t3_13can6x
jjfkfb3,Shamet vs Walker will be a hell of a WCF duel,11,1683607050.0,t3_13can6x
jjfkh8n,Lonnie won that one for the Lakers,12,1683607078.0,t3_13can6x
jjfkhbz,lebron predicted that lonnie walker would win the game lol,11,1683607079.0,t3_13can6x
jjfkmhz,"""Im tired as hell man get out my face""

LEBRON 😂😂😂",12,1683607155.0,t3_13can6x
jjfkmj6,“Memphis ain’t Golden State” Hahahaha Grizz catchin strayssss,11,1683607155.0,t3_13can6x
jjfks1s,Imagine after this shit start to the season and LeBron gets #5 lmao,11,1683607240.0,t3_13can6x
jjfkvt8,Lakers perfect from free throw line. Big factor in the end.,11,1683607300.0,t3_13can6x
jjfky3c,Steph with no help at all tonight,11,1683607336.0,t3_13can6x
jjfky6p,LeTiredAsHell,10,1683607338.0,t3_13can6x
jjfkyny,lonnie walker deserves bigger opportunities throughout the rest of the playoffs. unbelievably good today.,11,1683607345.0,t3_13can6x
jjfl932,Lonnie Walker did what so many laker fans wanted him to do!,9,1683607517.0,t3_13can6x
jjflchr,"What a game. GG Warriors, I was shook the whole 2nd half.",11,1683607573.0,t3_13can6x
jjflgi3,Shaq trying to pronounce DeVincenzo ☠️,11,1683607642.0,t3_13can6x
jjeugv3,I will not be toxic today 😊,11,1683594336.0,t3_13can6x
jjeuuk8,"I wonder what Kerr is seeing that made him want to start GPII. Defensively, JaMychal was actually clogging the paint quite a bit and you don’t get that with GPII. Otoh, GPII fits more naturally within GSW’s offensive system, especially cutting in 4-3 situations and getting easy buckets.",11,1683594497.0,t3_13can6x
jjf3jgk,Wtf was that no foul but jmgive it to lakers,10,1683598396.0,t3_13can6x
jjf3jh8,Literally such a late call. Even Van Gundy calling out thay bullshit,8,1683598396.0,t3_13can6x
jjf3k5p,Someone explain why that was a foul on Bron,9,1683598405.0,t3_13can6x
jjf3p8k,Refs already on their shit,10,1683598468.0,t3_13can6x
jjf443x,I’m a big lebron fan but man he got bailed on that alley oop attempted. Refs don’t want him to miss a wide open layup 🤣,10,1683598658.0,t3_13can6x
jjf4p24,Diarrhea is the only excuse I can think of as to why a dude would sprint off the floor into the locker room,9,1683598923.0,t3_13can6x
jjf5jts,Why the fuck is Poole still in?,10,1683599316.0,t3_13can6x
jjf6e0b,ya'll never heard of a feel-out game 4?,11,1683599706.0,t3_13can6x
jjf6mcc,Kerr should probably consider someone who can at least be average on defense in place of Poole. If he isn’t hitting his shots he is literally worthless,10,1683599812.0,t3_13can6x
jjf6ykv,Damn Bron just pushed the fuck out of Wiggins,9,1683599968.0,t3_13can6x
jjf8qd4,CONCUSSION BUFF IS CRAZY,10,1683600810.0,t3_13can6x
jjf8qhz,Draumond juked everyone there ngl.,10,1683600812.0,t3_13can6x
jjf8qmz,Great move by Draymond,9,1683600814.0,t3_13can6x
jjf8ri0,"Oh shit, Draymond opened the 8th gate",10,1683600825.0,t3_13can6x
jjf8sxg,dray unlocked something with that fall. ive never seen him do this,9,1683600843.0,t3_13can6x
jjf8t1m,Draymond with the sauce,11,1683600845.0,t3_13can6x
jjf8t2w,the head knock turned him into magic johnson,8,1683600845.0,t3_13can6x
jjf8t69,Draymond is actually likeable in this series how crazy is that,10,1683600846.0,t3_13can6x
jjf8to4,Draymond looks fine but surprised they didn’t really check him out for concussion,10,1683600852.0,t3_13can6x
jjf8tws,Dray got hit in the head and turned into kyrie,8,1683600856.0,t3_13can6x
jjf8tz4,Post head knock Draymond is Kyrie Irving,12,1683600857.0,t3_13can6x
jjf8va0,Defense Draymond went to sleep and Allen Iverson Draymond woke up,11,1683600873.0,t3_13can6x
jjf8vsr,CTE Draymond is the greatest player of all time,10,1683600880.0,t3_13can6x
jjf90uv,CTE draymond “you’ve unlocked my final form!”,9,1683600947.0,t3_13can6x
jjfa233,Warriors could have set 120 million on fire and it would have been a better investment than Poole's contract,10,1683601456.0,t3_13can6x
jjfbakt,Did they ever say why GP2 ran off in the 1st quarter?,9,1683602067.0,t3_13can6x
jjfbzdn,"I feel like chuck gave some bad analysis there. 

Warriors are getting some easy 2s at the rim. And they are still getting 3s.

It felt more sustainable than what the lakers are doing as the game went on",9,1683602423.0,t3_13can6x
jjfdzsv,Damn curry in chef mode rn👨🏽‍🍳👨🏽‍🍳,9,1683603478.0,t3_13can6x
jjffapg,Am I the only one seeing the Lakers getting mauled and no whistle?,10,1683604164.0,t3_13can6x
jjffzco,legit Curry vs Lakers. he either scores or gets a teammate a wide open look,9,1683604536.0,t3_13can6x
jjfg4n1,"So much fun watching LeBron jack up bailout 3's at a 22% clip these playoffs smh

THEY'RE GIVING THEM TO YOU FOR A REASON DUMMY",10,1683604616.0,t3_13can6x
jjfg5je,Curry really teasing the triple double just get one more rebound bro,10,1683604630.0,t3_13can6x
jjfgmp0,I don't think Jack even knows where he is.,9,1683604892.0,t3_13can6x
jjfgqw7,Pooles contract is going to royally fuck the warriors,11,1683604954.0,t3_13can6x
jjfgrs4,2016 vibes with Lebron asking for Curry,10,1683604968.0,t3_13can6x
